category,category_desc,group_type,group_name,SMARTS,SMARTS_desc
ORBITAL,Orbital Configuration, acyl halide ,Any sp2 nitrogen.,"[$([nX3](:*):*),$([nX2](:*):*),$([#7X2]=*),$([NX3](=*)=*),$([#7X3+](-*)=*),$([#7X3+H]=*)]","Can be aromatic 3-connected with 2 aromatic bonds (eg pyrrole,Pyridine-N-oxide), aromatic 2-connected with 2 aromatic bonds (and a free
pair of electrons in a nonbonding orbital, e.g.Pyridine), either aromatic or non-aromatic 2-connected with a double bond (and a free pair
of electrons in a nonbonding orbital, e.g. C=N ), non aromatic 3-connected with 2 double bonds (e.g. a nitro group; this form does not exist
in reality, SMILES can represent the charge-separated resonance structures as a single uncharged structure), either aromatic or non-aromatic
3-connected cation w/ 1 single bond and 1 double bond (e.g. a nitro group, here the individual charge-separated resonance structures are
specified),  either aromatic or non-aromatic 3-connected hydrogenated cation with a double bond (as the previous case but R is hydrogen), 
rspectively."
ORBITAL,Orbital Configuration, acyl halide ,sp2 N in N-Oxide,"[$([$([NX3]=O),$([NX3+][O-])])]",
ORBITAL,Orbital Configuration, acyl halide ,sp3 N in N-Oxide Inclusive:,"[$([$([NX4]=O),$([NX4+][O-,#0])])]",Hits if O could be present. Hits if * if used in place of O in smiles.
ORBITAL,Orbital Configuration, acyl halide ,Aromatic sp2 carbon.,"[$([cX3](:*):*),$([cX2+](:*):*)]","The first recursive SMARTS matches carbons that are three-connected, the second case matches two-connected carbons (i.e cations with
 a free electron in a non-bonding sp2 hybrid orbital)"
ORBITAL,Orbital Configuration, acyl halide ,Explicit Hydrogen on an sp3 N.,"[$([#1X1][$([NX4+]),$([NX3]);!$(*=*)&!$(*:*)])]",One atom that is a 1-connected H that is bonded to an sp3 N. (H must be an isotope or ion)
P,P, phosphoric compounds ,Phosphoric_ester groups.,"[$(P(=[OX1])([OX2][#6])([$([OX2H]),$([OX1-]),$([OX2][#6])])[$([OX2H]),$([OX1-]),$([OX2][#6]),$([OX2]P)]),$([P+]([OX1-])([OX2][#6])([$([OX2H]),$([OX1-]),$([OX2][#6])])[$([OX2H]),$([OX1-]),$([OX2][#6]),$([OX2]P)])]",Hits both depiction forms.  Doesn't hit non-ester phosphoric_acid groups.
P,P, phosphoric compounds ,Phosphoric_acid groups.,"[$(P(=[OX1])([$([OX2H]),$([OX1-]),$([OX2]P)])([$([OX2H]),$([OX1-]),$([OX2]P)])[$([OX2H]),$([OX1-]),$([OX2]P)]),$([P+]([OX1-])([$([OX2H]),$([OX1-]),$([OX2]P)])([$([OX2H]),$([OX1-]),$([OX2]P)])[$([OX2H]),$([OX1-]),$([OX2]P)])]","Hits both depiction forms. Hits orthophosphoric acid and polyphosphoric acid anhydrides.  Doesn't hit monophosphoric acid anhydride
esters (including acidic mono- & di- esters) but will hit some polyphosphoric acid anhydride esters (mono- esters on pyrophosphoric acid
 and longer, di-  esters on linear triphosphoric acid and longer)."
RAD,Radicals , Hydrogens ,Nitrogen Free-Radical,[#7;X2v4+0],Hits a neutral nitrogen with two single bonds or with a single and a triple bond.
RAD,Radicals , Hydrogens ,Carbon Free-Radical,[#6;X3v3+0],Hits a neutral carbon with three single bonds.
RECUR,Recursive or Multiple ,"   Single only, Double only, Single or Double",Two sulfides,[#16X2H0][!#16].[#16X2H0][!#16],Won't hit thiols. Won't hit mono-sulfides. Won't hit disulfides.
RECUR,Recursive or Multiple , Muntiple Disconnected Groups,Two disconnected SMARTS fragments,([Cl]).([c]),Hits SMILES that contain a chlorine and an aromatic carbon but which are in different SMILES fragments.
RECUR,Recursive or Multiple , Recursive SMARTS: Atoms connected to particular SMARTS,Ortho,[SMARTS_expression]-!:aa-!:[SMARTS_expression],
RECUR,Recursive or Multiple ,"   Single only, Double only, Single or Double",Acid/conj-base,"[OX2H,OX1H0-]",Hits acid and conjugate base. acid/base
RECUR,Recursive or Multiple , Muntiple Disconnected Groups,Two not-necessarily connected fragments,([SMARTS_expression]).([SMARTS_expression]),Uses component-level SMARTS. SMARTS fragments are each in different SMILES target fragments.
RECUR,Recursive or Multiple ,"   Single only, Double only, Single or Double",Di-sulfide,[#16X2H0][#16X2H0],Won't hit thiols. Won't hit mono-sulfides.
RECUR,Recursive or Multiple , Muntiple Disconnected Groups,Two disconnected SMARTS fragments,([Cl!$(Cl~c)].[c!$(c~Cl)]),"A molecule that contains a chlorine and an aromatic carbon but which are not connected to each other. Uses component-level SMARTS. B
oth SMARTS fragments must be in the same SMILES target fragment."
RECUR,Recursive or Multiple ,"   Single only, Double only, Single or Double",Acid/base,"[H1,H0-]",Works for any atom if base form has no Hs & acid has only one.
RECUR,Recursive or Multiple ,"   Single only, Double only, Single or Double",Non-acid Oxygen,[OX2H0],
RECUR,Recursive or Multiple , Recursive SMARTS: Atoms connected to particular SMARTS,Fluorine,[$([#9][SMARTS_expression])],
RECUR,Recursive or Multiple , Recursive SMARTS: Atoms connected to particular SMARTS,Nitrogen,[$([#7][SMARTS_expression])],
RECUR,Recursive or Multiple ,"   Single only, Double only, Single or Double",Sulfide,[#16X2H0],(-alkylthio)  Won't hit thiols. Hits disulfides too.
RECUR,Recursive or Multiple , Recursive SMARTS: Atoms connected to particular SMARTS,Para,[SMARTS_expression]-!:aaaa-!:[SMARTS_expression],
RECUR,Recursive or Multiple , Muntiple Disconnected Groups,Two not-necessarily connected SMARTS fragments,([Cl].[c]),Uses component-level SMARTS. Both SMARTS fragments must be in the same SMILES target fragment.
RECUR,Recursive or Multiple , Recursive SMARTS: Atoms connected to particular SMARTS,Hydrogen,[$([#1][SMARTS_expression])],Hydrogen must be explicit i.e. an isotope or charged
RECUR,Recursive or Multiple , Recursive SMARTS: Multiple groups,Ortho,[SMARTS_expression]-!:aa-!:[SMARTS_expression],
RECUR,Recursive or Multiple , Muntiple Disconnected Groups,Two primary or secondary amines,"[NX3;H2,H1;!$(NC=O)].[NX3;H2,H1;!$(NC=O)]","Here we use the ""disconnection"" symbol (""."") to match two separate not-necessarily bonded identical patterns."
RECUR,Recursive or Multiple , Recursive SMARTS: Atoms connected to particular SMARTS,Meta,[SMARTS_expression]-!:aaa-!:[SMARTS_expression],
RECUR,Recursive or Multiple , Recursive SMARTS: Atoms connected to particular SMARTS,Oxygen,[$([#8][SMARTS_expression])],
RECUR,Recursive or Multiple ,"   Single only, Double only, Single or Double",Mono-sulfide,[#16X2H0][!#16],(alkylthio- or alkoxy-) R-S-R  Won't hit thiols. Won't hit disulfides.
ROTATE,Rotation, acyl halide ,Rotatable bond,[!$(*#*)&!D1]-!@[!$(*#*)&!D1],"An atom which is not triply bonded and not one-connected i.e.terminal connected by a single non-ring bond to and equivalent atom. Note
that logical operators can be applied to bonds (""-&!@""). Here, the overall SMARTS consists of two atoms and one bond. The bond is ""site
and not ring"". *#* any atom triple bonded to any atom.  By enclosing this SMARTS in parentheses and preceding with $, this enables us to
use $(*#*) to write a recursive SMARTS using that string as an atom primitive. The purpose is to avoid bonds such as c1ccccc1-C#C which wo
be considered rotatable without this specification."
S,S,"thio groups ( thio-, thi-, sulpho-, mercapto- )",Thioamide,[NX3][CX3]=[SX1],
S,S,sulfene,Sulfenate.,[#16X2][OX2H0],
S,S,sulfoxide,Sulfoxide Low specificity.,"[$([#16X3]=[OX1]),$([#16X3+][OX1-])]","( sulfinyl, thionyl )   Analog of carbonyl where S replaces C.
        Hits all sulfoxides, including heteroatom-substituted sulfoxides,
        dialkylsulfoxides carbo-sulfoxides, sulfinate, sulfinic acids...
        Hits Both Depiction Forms. Won't hit sulfones."
S,S,sulfone,Sulfonic acid.  High specificity.,"[$([#16X4](=[OX1])(=[OX1])([#6])[OX2H,OX1H0-]),$([#16X4+2]([OX1-])([OX1-])([#6])[OX2H,OX1H0-])]","Only hits carbo- sulfonic acids (Won't hit herteroatom-substituted molecules).
        Hits acid and conjugate base.  Hits Both Depiction Forms. Hits Arene sulfonic acids."
S,S,sulfone,Sulfonamide,"[$([SX4](=[OX1])(=[OX1])([!O])[NX3]),$([SX4+2]([OX1-])([OX1-])([!O])[NX3])]",(sulf drugs)  Won't hit sulfamic acid or sulfamate. Hits Both Depiction Forms.
S,S,sulfone,Sulfone. High specificity.,"[$([#16X4](=[OX1])(=[OX1])([#6])[#6]),$([#16X4+2]([OX1-])([OX1-])([#6])[#6])]",Only hits carbo- sulfones (Won't hit herteroatom-substituted molecules).  Hits Both Depiction Forms.
S,S,"thio groups ( thio-, thi-, sulpho-, mercapto- )",Carbo-Thiocarboxylate,[S-][CX3](=S)[#6],
S,S,sulfide,Mono-sulfide,[#16X2H0][!#16],alkylthio- or alkoxy- Won't hit thiols. Won't hit disulfides.
S,S,sulfoxide,Sulfoxide High specificity,"[$([#16X3](=[OX1])([#6])[#6]),$([#16X3+]([OX1-])([#6])[#6])]","(sulfinyl , thionyl)  Analog of carbonyl where S replaces C. Only hits carbo-sulfoxides
        (Won't hit herteroatom-substituted molecules).  Hits Both Depiction Forms. Won't hit sulfones."
S,S,sulfone,Sulfone.  Low specificity.,"[$([#16X4](=[OX1])=[OX1]),$([#16X4+2]([OX1-])[OX1-])]","Hits all sulfones, including heteroatom-substituted sulfones: sulfonic acid, sulfonate, sulfuric acid mono- & di- esters, sulfamic
acid, sulfamate, sulfonamide... Hits Both Depiction Forms."
S,S,"thio groups ( thio-, thi-, sulpho-, mercapto- )",Thio analog of carbonyl,[#6X3](=[SX1])([!N])[!N],Where S replaces O.  Not a thioamide.
S,S,"thio groups ( thio-, thi-, sulpho-, mercapto- )",Thiol,[#16X2H],
S,S,sulfone,Sulfonate,"[$([#16X4](=[OX1])(=[OX1])([#6])[OX2H0]),$([#16X4+2]([OX1-])([OX1-])([#6])[OX2H0])]","(sulfonic ester) Only hits carbon-substituted sulfur
        (Oxygen may be herteroatom-substituted).  Hits Both Depiction Forms."
S,S,sulfate,Sulfuric Acid Diester.,"[$([#16X4](=[OX1])(=[OX1])([OX2][#6])[OX2][#6]),$([#16X4](=[OX1])(=[OX1])([OX2][#6])[OX2][#6])]",Only hits when oxygen is carbon-substituted. Hits Both Depiction Forms.
S,S,sulfate,Sulfate,"[$([#16X4](=[OX1])(=[OX1])([OX2H,OX1H0-])[OX2][#6]),$([#16X4+2]([OX1-])([OX1-])([OX2H,OX1H0-])[OX2][#6])]","(sulfuric acid monoester)  Only hits when oxygen is carbon-substituted.
        Hits acid and conjugate base. Hits Both Depiction Forms."
S,S,sulfamate,Sulfamic Acid.,"[$([#16X4]([NX3])(=[OX1])(=[OX1])[OX2H,OX1H0-]),$([#16X4+2]([NX3])([OX1-])([OX1-])[OX2H,OX1H0-])]",Hits acid and conjugate base. Hits Both Depiction Forms.
S,S,sulfide,Sulfide,[#16X2H0],-alkylthio  Won't hit thiols. Hits disulfides.
S,S,sulfone,Sulfonamide.,"[$([#16X4]([NX3])(=[OX1])(=[OX1])[#6]),$([#16X4+2]([NX3])([OX1-])([OX1-])[#6])]",Only hits carbo- sulfonamide. Hits Both Depiction Forms.
S,S,sulfamate,Sulfamate.,"[$([#16X4]([NX3])(=[OX1])(=[OX1])[OX2][#6]),$([#16X4+2]([NX3])([OX1-])([OX1-])[OX2][#6])]",Only hits when oxygen is carbon-substituted. Hits Both Depiction Forms.
S,S,sulfone,Carbo-azosulfone,[SX4](C)(C)(=O)=N,Partial N-Analog of Sulfone
S,S,"thio groups ( thio-, thi-, sulpho-, mercapto- )",Carbo-Thioester,S([#6])[CX3](=O)[#6],
S,S,"thio groups ( thio-, thi-, sulpho-, mercapto- )",Sulfur with at-least one hydrogen.,[#16!H0],
S,S,sulfinate,Sulfinate,"[$([#16X3](=[OX1])[OX2H0]),$([#16X3+]([OX1-])[OX2H0])]",Won't hit Sulfinic Acid.  Hits Both Depiction Forms.
S,S,sulfinate,Sulfinic Acid,"[$([#16X3](=[OX1])[OX2H,OX1H0-]),$([#16X3+]([OX1-])[OX2H,OX1H0-])]","Won't hit substituted Sulfinates.  Hits Both Depiction Forms.
        Hits acid and conjugate base (sulfinate)."
S,S,sulfide,Di-sulfide,[#16X2H0][#16X2H0],Won't hit thiols. Won't hit mono-sulfides.
S,S,sulfide,Two Sulfides,[#16X2H0][!#16].[#16X2H0][!#16],Won't hit thiols. Won't hit mono-sulfides. Won't hit disulfides.
S,S,sulfene,Sulfenic acid.,"[#16X2][OX2H,OX1H0-]",Hits acid and conjugate base.
S,S,sulfate,Sulfuric acid ester (sulfate ester)  Low specificity.,"[$([SX4](=O)(=O)(O)O),$([SX4+2]([O-])([O-])(O)O)]","Hits sulfuric acid, sulfuric acid monoesters (sulfuric acids) and diesters (sulfates).
        Hits acid and conjugate base. Hits Both Depiction Forms."
S,S,"thio groups ( thio-, thi-, sulpho-, mercapto- )","Thiol, Sulfide or Disulfide Sulfur",[SX2],
TOOL,Tools &Tricks, Alternative/Equivalent Representations ,Factoring,"[OX2,OX1-][OX2,OX1-] or [O;X2,X1-][O;X2,X1-]",Factor out common atomic expressions in the recursive SMARTS.  May improve human readability.
TOOL,Tools &Tricks, Alternative/Equivalent Representations ,SMILES wildcard,[#0],This SMARTS hits the SMILES *
TOOL,Tools &Tricks, Hydrogens ,Any atom w/ at-least 1 H,"[*!H0,#1]","In SMILES and SMARTS, Hydrogen is not considered an atom (unless it is specified as an isotope). The hydrogen count is instead consi
dered a property of an atom.  This SMARTS provides a way to effectively hit Hs themselves."
TOOL,Tools &Tricks, Alternative/Equivalent Representations ,"High-precidence ""and""","[N&X4&+,N&X3&+0] or [NX4+,NX3+0]","High-precidence ""and"" (&) is the default logical operator. ""Or"" (,) is higher precidence than & and low-precidence ""and"" (;)
 is lower precidence than &."
TOOL,Tools &Tricks, Hydrogens ,Atoms w/ 1 H,"[H,#1]",
TOOL,Tools &Tricks, Alternative/Equivalent Representations ,Any carbon aromatic or non-aromatic,"[#6] or [c,C]",
TOOL,Tools &Tricks, Hydrogens ,Hs on Carbons,"[#6!H0,#1]",
X,X, halide (-halo -fluoro -chloro -bromo -iodo) ,Halogen,"[F,Cl,Br,I]",
X,X, acyl halide ,Acyl Halide,"[CX3](=[OX1])[F,Cl,Br,I]","(acid halide, -oyl halide)"
X,X, halide (-halo -fluoro -chloro -bromo -iodo) ,Any carbon attached to any halogen,"[#6][F,Cl,Br,I]",
X,X, halide (-halo -fluoro -chloro -bromo -iodo) ,Three_halides groups,"[F,Cl,Br,I].[F,Cl,Br,I].[F,Cl,Br,I]",Hits SMILES that have three halides.
